Indicator Name,Indicator Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Guyana,GUY,49.8543471,49.89816567,49.93937029,49.94555111,49.91618771,49.88737229,49.86316928,49.84085585,49.81871334,49.79523836,49.76857042,49.73899455,49.6295671,49.44388298,49.26395034,49.09176693,48.92724491,48.7697761,49.00411342,49.07925935,48.81997223,48.76244969,48.72845308,48.70279408,48.68130533
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Hong Kong SAR, China",HKG,48.74971382,48.53346627,48.29835009,48.05586371,47.80925657,47.56098514,47.32425164,47.11220001,46.91198355,46.7073029,46.49462228,46.29584053,46.13781219,45.99323957,45.83729763,45.67588554,45.53395581,45.4373549,45.35566872,45.26116873,45.16155432,45.11997366,45.10987602,45.07912012,45.04813208
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Honduras,HND,50.38910586,50.39599775,50.40314265,50.4098276,50.41555721,50.42035988,50.42396124,50.42667341,50.42876914,50.43020072,50.43083947,50.43040973,50.42906678,50.42686256,50.42359019,50.41942428,50.41457102,50.40871861,50.40210601,50.39497632,50.38318557,50.36852728,50.35799368,50.3501646,50.3428461
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Croatia,HRV,48.06025281,48.06527393,48.05631126,48.04260167,48.04568665,48.0546924,48.07266324,48.09923831,48.11572531,48.13138988,48.14257599,48.13299963,48.12852631,48.13977849,48.15003183,48.15693085,48.16033969,48.16326731,48.16346772,48.1666614,48.17628311,48.18516999,48.20035797,48.22089089,48.23856064
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Haiti,HTI,49.65543804,49.66482646,49.67212271,49.67778782,49.68267491,49.68571741,49.6857939,49.68424127,49.68178349,49.67872704,49.69897873,49.71704214,49.70893079,49.69887586,49.68702627,49.67388377,49.65978401,49.64419601,49.62703753,49.60900619,49.58598693,49.56005432,49.53502845,49.50924597,49.4825041
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Hungary,HUN,47.59942963,47.57034468,47.5427,47.51626848,47.49611607,47.49369791,47.49740372,47.49508724,47.49690441,47.50633363,47.51709769,47.54427509,47.58070892,47.60361302,47.62942037,47.66809046,47.70494607,47.74565293,47.81038577,47.87989085,47.92137654,47.94342723,47.96559506,47.98530692,48.01786044
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Indonesia,IDN,50.0889668,50.10072483,50.11204498,50.12325104,50.13672469,50.1497529,50.16039468,50.17054881,50.17988019,50.18910367,50.19840132,50.20747743,50.21623731,50.22375317,50.22957199,50.23455014,50.23911354,50.2427773,50.24511205,50.24671989,50.24227801,50.23573966,50.23499202,50.23497736,50.23420768
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Isle of Man,IMN,48.87984245,48.98268738,49.06568663,49.14092429,49.22073307,49.30328487,49.38414596,49.45962266,49.53065951,49.59428013,49.65066648,49.66817568,49.64368293,49.61433784,49.59114099,49.56754752,49.55790382,49.57241445,49.5823688,49.57656896,49.56104872,49.54521134,49.53525412,49.52474871,49.50749159
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,India,IND,51.72905524,51.7344669,51.73768808,51.73965013,51.74030437,51.73971117,51.73731006,51.73343199,51.7290958,51.72373728,51.71754086,51.71085328,51.70328078,51.69481562,51.68619211,51.6781684,51.67007986,51.66147708,51.65281906,51.64401797,51.63028173,51.61378109,51.60091752,51.58882895,51.57522694
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Ireland,IRL,49.70815905,49.71590593,49.69612643,49.7053797,49.78254154,49.91074016,50.02198522,50.01179011,49.89519614,49.76377182,49.66850768,49.59615495,49.54505653,49.52041079,49.47993211,49.47218355,49.49261629,49.50568161,49.52183207,49.52669418,49.5154945,49.51097013,49.51202687,49.50491963,49.50189505
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Iran, Islamic Rep.",IRN,50.74813239,50.71557621,50.6922686,50.76679303,50.92999183,51.09486066,51.24313306,51.27033495,51.19881817,51.13526642,51.07743919,51.0242972,50.99295356,50.98155642,50.97357005,50.96785303,50.95859879,50.94546594,50.93220467,50.9180952,50.9014392,50.87995954,50.85677738,50.83573426,50.81708637
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Iraq,IRQ,49.61536692,49.65843104,49.69939123,49.72799527,49.74024652,49.74659463,49.74206152,49.72909424,49.73451242,49.76610879,49.80768466,49.84956356,49.89041101,49.92791364,49.96325177,49.99690233,50.01460243,50.02421744,50.04755173,50.07746254,50.0980041,50.11866395,50.1457867,50.17103079,50.19563327
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Iceland,ISL,50.05474972,50.05753336,50.03216194,50.02451607,50.0809463,50.27085846,50.65191494,50.94240334,50.8690928,50.54454948,50.29356483,50.20602437,50.16160653,50.14526761,50.16319963,50.24036791,50.4180896,50.75320713,51.08586295,51.27017264,51.29127638,51.24770893,51.22766889,51.19982041,51.20489278
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Israel,ISR,49.37013096,49.37012598,49.37346179,49.38252943,49.39424077,49.40514604,49.41576097,49.42601424,49.43720693,49.45473943,49.47253785,49.48854387,49.50565079,49.52326496,49.54146912,49.55827764,49.57929385,49.60746471,49.63817559,49.66941285,49.69709249,49.72155083,49.74712602,49.77043778,49.79115313
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Italy,ITA,48.42610889,48.42350143,48.43063626,48.4492498,48.47568367,48.49502631,48.49810056,48.49033104,48.47906665,48.46696326,48.44878799,48.43797728,48.45484208,48.48427968,48.50636221,48.53959656,48.59875988,48.67283362,48.73984484,48.77169079,48.78693889,48.80920352,48.82584971,48.84490787,48.87494566
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Jamaica,JAM,49.54099698,49.56209088,49.58007189,49.59480513,49.60516064,49.61015085,49.6101768,49.60697177,49.6015239,49.59556009,49.59115059,49.58856987,49.58745562,49.58752532,49.58727502,49.58541092,49.58085921,49.57281561,49.56026351,49.54379142,49.52544194,49.50600525,49.48632405,49.46647388,49.44978735
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Jordan,JOR,52.35303126,52.24063239,52.14091997,52.05668786,51.99561854,51.94917132,51.90433227,51.86175121,51.8176171,51.7751454,51.73485318,51.6969359,51.66028568,51.71572544,51.84358312,51.88139967,51.84706897,51.81227659,51.77822174,51.74485009,51.70892426,51.67061316,51.63605793,51.60539453,51.56618144
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Japan,JPN,49.18378175,49.16158749,49.13662825,49.10987361,49.08211251,49.05196238,49.02279071,48.9970956,48.97079333,48.94417979,48.91833209,48.90192102,48.89362974,48.88514222,48.87690788,48.87370876,48.87287744,48.8687951,48.86513156,48.86238195,48.85351511,48.83787064,48.82212118,48.80559123,48.78389938
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Kazakhstan,KAZ,47.32705795,47.33612955,47.34399596,47.36840367,47.42007021,47.47949602,47.53774517,47.60882446,47.71122316,47.78654989,47.8037082,47.81499218,47.83356811,47.8590496,47.89067418,47.92671424,47.96640898,48.00817138,48.12519084,48.32617414,48.52090253,48.62880397,48.65806209,48.68171598,48.70642913
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Kenya,KEN,49.6840768,49.7077311,49.72963984,49.75030624,49.76992063,49.78757411,49.80258784,49.8136033,49.82184647,49.82919229,49.83422746,49.83517765,49.83338955,49.8296889,49.82332366,49.81382726,49.80566346,49.79780789,49.78522065,49.77340314,49.76048279,49.7435454,49.73146471,49.7244457,49.71576798
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Kyrgyz Republic,KGZ,47.496918,47.61272527,47.73390844,47.86270633,47.99638288,48.13618353,48.38858008,48.74258662,49.08563749,49.28263339,49.34425394,49.42398251,49.52203267,49.60662654,49.66905831,49.7057423,49.69180458,49.62258145,49.55412812,49.52088332,49.494916,49.46661371,49.44894813,49.44244135,49.43405999
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Cambodia,KHM,48.08758968,48.1618889,48.23298542,48.30070842,48.36841911,48.43785751,48.51189898,48.58761209,48.65687706,48.70247625,48.72841539,48.75263744,48.77481468,48.79519121,48.81421898,48.83221808,48.8507836,48.86654151,48.87636638,48.88803095,48.91124454,48.93814215,48.95935431,48.97847385,48.99985549
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Kiribati,KIR,48.79306648,48.77622184,48.78228542,48.79957526,48.80470417,48.79840059,48.7822192,48.7665086,48.75554106,48.74843848,48.7212982,48.65067602,48.55412566,48.45176082,48.34774164,48.25363398,48.21273327,48.21201413,48.21228181,48.21739832,48.26287282,48.32681612,48.38850608,48.46488746,48.52807803
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,St. Kitts and Nevis,KNA,49.8353482,49.85249448,49.81312473,49.74554432,49.66641477,49.57684605,49.49000408,49.39836424,49.29860147,49.20283059,49.09385873,49.02316256,48.98262922,48.90692388,48.82668989,48.73531973,48.6319412,48.52394211,48.41303608,48.30781027,48.19500747,48.07860916,47.98861033,47.92335001,47.8684115
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Korea, Rep.",KOR,51.07716371,51.06186049,51.01713201,50.97623212,50.93782688,50.89757209,50.86105705,50.833067,50.80804662,50.78629054,50.76028517,50.67615089,50.54251266,50.41162713,50.28318594,50.16629952,50.09598163,50.06294785,50.03053588,49.99775247,49.9502309,49.90748605,49.90228168,49.9178521,49.91365027
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Kuwait,KWT,58.48082758,58.64603844,58.81006265,58.97503224,59.14287171,59.04379,58.59885298,58.10351826,57.66255151,57.27108436,56.93351027,56.98654405,57.30517452,57.57239618,58.04912261,58.74865105,59.6345478,60.69092138,61.57366898,61.68151631,60.94050558,60.66170864,61.05444808,61.15740721,61.11308361
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Lao PDR,LAO,50.3697149,50.37786956,50.38280928,50.38328731,50.37867382,50.37061785,50.36098068,50.35084498,50.34119535,50.33311747,50.32673455,50.32162464,50.31779521,50.31512313,50.31247893,50.30907964,50.30479959,50.30020032,50.29551581,50.29006022,50.27843746,50.26661727,50.25989525,50.25275956,50.2461447
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Lebanon,LBN,49.6389288,49.65508217,49.66972137,49.68330627,49.69589799,49.70680372,49.70990096,49.71217677,49.71947194,49.72818064,49.7405425,49.75642761,49.77458782,49.79345991,49.81256473,49.71844593,49.49869992,49.25928487,48.99989455,48.72001386,48.57640593,48.57740006,48.5873156,48.61185421,48.63336147
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Liberia,LBR,49.52867304,49.5373154,49.54880491,49.5514553,49.55669993,49.5742976,49.59281377,49.61199766,49.63203388,49.6520187,49.67140039,49.69539309,49.71930308,49.73951057,49.75894405,49.77800937,49.79664009,49.81454652,49.83194215,49.84864346,49.8627721,49.87649551,49.89144461,49.90583523,49.91953238
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Libya,LBY,53.39029697,52.96743546,52.55625489,52.15709088,51.77131699,51.40207063,51.21969777,51.21975552,51.22859209,51.23224233,51.22749271,51.25271886,51.26485457,51.22614689,51.17837297,51.11808824,51.05625255,51.0183906,50.99915244,50.96810085,50.92662602,50.88796,50.85795517,50.84607699,50.84620384
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,St. Lucia,LCA,49.63748928,49.6689279,49.69654976,49.71959061,49.7397086,49.75551378,49.771062,49.81729743,49.89781229,49.97998446,50.00234047,49.96885932,49.93626366,49.9030963,49.86533746,49.82504688,49.78564963,49.74027742,49.69070767,49.6397654,49.58569657,49.5227479,49.46415187,49.41796581,49.37188446
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Liechtenstein,LIE,49.34617824,49.29733285,49.25169665,49.2483852,49.28754217,49.30385403,49.33382891,49.37830012,49.44419366,49.51703671,49.52359788,49.50096498,49.51907312,49.56109455,49.62462664,49.65240642,49.61984262,49.58917862,49.58036089,49.59937565,49.61436273,49.62862412,49.64773508,49.66537869,49.68397291
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Sri Lanka,LKA,49.74151837,49.67769473,49.58524675,49.47788946,49.37587884,49.27657692,49.17425754,49.06593593,48.94973566,48.82334328,48.70036715,48.59360595,48.5371023,48.52378136,48.51005613,48.49513605,48.4805419,48.46600719,48.45114058,48.43808169,48.42719594,48.4146295,48.40122155,48.38947123,48.38021751
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Lesotho,LSO,48.63334885,48.63110883,48.62910342,48.62787454,48.62076505,48.60737626,48.60888753,48.61017536,48.5987325,48.59168795,48.58757741,48.58389411,48.58117122,48.58344481,48.58873827,48.59477595,48.60407938,48.61710872,48.63017682,48.64232678,48.65551503,48.66931501,48.68451269,48.70173638,48.72427829
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Lithuania,LTU,46.79132477,46.72396001,46.67423528,46.63491523,46.59227844,46.5199474,46.41914755,46.33694521,46.29131766,46.21849722,46.12886252,46.08013957,46.06004022,46.0616693,46.07230135,46.05276063,46.04668347,46.12283834,46.26805277,46.51642292,46.82526851,47.00637362,47.07961177,47.15335633,47.19972299
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Luxembourg,LUX,49.28771728,49.25931292,49.27887846,49.33914368,49.42722607,49.47492603,49.50313514,49.5301611,49.58046263,49.65725721,49.72566564,49.821244,49.92861825,50.01187074,50.0680414,50.13906057,50.20445377,50.24132642,50.27668101,50.2980668,50.31834912,50.34953785,50.34156675,50.31987815,50.33341456
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Latvia,LVA,46.01851445,45.96183297,45.89092954,45.86274959,45.86524711,45.86558347,45.87989453,45.91807617,45.91911143,45.84053635,45.73886076,45.70128674,45.74478751,45.79542367,45.84371579,45.89823279,45.92331199,45.95587138,46.03618616,46.13012945,46.19656582,46.23955299,46.28122503,46.31891819,46.36032806
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,"Macao SAR, China",MAC,47.81584646,47.75916877,47.72408802,47.70590957,47.68985419,47.67445146,47.6556081,47.63573283,47.62459206,47.61384793,47.5965075,47.55260305,47.4521019,47.32548021,47.20164508,47.07777022,46.95188953,46.82810717,46.71039449,46.58943566,46.46630565,46.35499322,46.25040995,46.12829891,46.051298
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,St. Martin (French part),MAF,48.33311108,48.16413986,47.99392482,47.81910789,47.65005577,47.48585239,47.32377298,47.16452544,47.01874409,46.87285976,46.80377686,46.81539831,46.79812207,46.78104706,46.81049905,46.84364045,46.8406187,46.81307346,47.02321448,47.76746629,47.61695033,46.89095825,46.87911327,46.72723969,46.50005741
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Morocco,MAR,50.13722303,50.16606488,50.1937726,50.21609043,50.22213121,50.22843294,50.24999531,50.27438503,50.30041193,50.3283904,50.35453059,50.37619802,50.39422141,50.41052522,50.42753089,50.44683842,50.45891672,50.4651362,50.47821332,50.49452655,50.49109714,50.47673836,50.463407,50.44276163,50.4239247
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Monaco,MCO,48.55338161,48.58542899,48.59046327,48.58528449,48.58548966,48.59360447,48.61028792,48.63209473,48.6650333,48.71303649,48.77423635,48.83344135,48.88504754,48.92938754,48.96620443,48.99202873,48.99667346,48.98479178,48.99879436,48.96743551,48.94483719,48.99161627,48.98797904,48.95009755,48.92443892
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Moldova,MDA,46.35680664,46.31418908,46.27214225,46.2264432,46.19174437,46.21035238,46.2667125,46.31572552,46.3573669,46.39167775,46.42007648,46.44617524,46.47379694,46.50301666,46.48292747,46.41408217,46.3490883,46.28701819,46.23230651,46.17948173,46.12165463,46.07244775,46.03951863,46.02480543,46.01154546
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Madagascar,MDG,50.14901305,50.15064634,50.15208338,50.15285372,50.15302628,50.15290683,50.15250185,50.15204062,50.15148031,50.15134625,50.15198567,50.15276068,50.15341117,50.15429737,50.15532006,50.15661291,50.15850221,50.16059952,50.16273548,50.16451359,50.16306977,50.16016088,50.15859673,50.15695796,50.15658085
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Maldives,MDV,52.45374409,52.44397019,52.44003223,52.45015869,52.47218932,52.50514801,52.87286005,53.63582851,54.44520794,55.20851279,55.92973237,56.6127159,57.26155453,57.87937111,58.47196803,59.0518832,59.61521109,60.1544447,60.66967098,61.16191335,61.63511366,62.08922143,62.23671884,62.09538512,61.91845759
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Mexico,MEX,48.83099868,48.81597785,48.81698742,48.8182302,48.81996383,48.82241916,48.82638183,48.83392097,48.84378688,48.85256455,48.85697238,48.85748267,48.8505345,48.83768128,48.8180463,48.78573264,48.74640566,48.70931705,48.67883963,48.65063473,48.60878182,48.5551839,48.51893995,48.50181009,48.49388023
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Marshall Islands,MHL,51.24539018,51.23525615,51.2318911,51.22777799,51.21932382,51.20701281,51.20018464,51.20113772,51.18969825,51.17745439,51.20765521,51.26184788,51.28454462,51.28453039,51.28524379,51.28173603,51.27124861,51.2605042,51.2509661,51.2407399,51.22579437,51.23047914,51.25006238,51.26197589,51.23308831
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,North Macedonia,MKD,48.81645573,48.92476943,48.98005913,48.99282266,49.00916859,49.02488556,49.03790051,49.05037147,49.06457978,49.07781669,49.09015576,49.10220609,49.11628288,49.12883454,49.10976043,49.05971926,49.00127928,48.93558482,48.86541218,48.79257984,48.704338,48.64756675,48.63582566,48.63429563,48.64753822
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Mali,MLI,50.36611675,50.38966071,50.40860023,50.42370272,50.43532449,50.44429843,50.45195402,50.45807533,50.46266655,50.46761892,50.4729888,50.47755945,50.48178243,50.4837936,50.48419929,50.48463343,50.48512896,50.48551936,50.48486625,50.48362467,50.4792083,50.47403526,50.46924194,50.46322063,50.45539785
